Metal,Capacity [kt/y],Capex [Year USD],Capex/ Capacity [year USD/ (t/y)],Year,Year CEI,2018 CEI,Capex [2018 USD],Capex/ Capacity [2018 USD/ (t/y)],Cell Count,Temperature [C],Current Density [A/m^2],Current efficiency,Operating potential [V],Specific energy [kWh/kg],Electrode area/ cell [m^2],Current / cell [kA],Power / cell [MW],Electrons per product,Product molar mass [kg],Yearly productivity / cell [kt/y],Notes
Fe,100,71130000,711.3,2018,607,607,71130000,711.3,555.556,80,1000,0.9,3.2,4.64,30,30,0.1,3,0.06,0.18,Humbert Cost Kempler Operating Conditions
Fe,100,1094700000,10947,2018,607,607,1094700000,10947,13.495,900,6000,0.9,1.79,0.64,30,300,0.54,3,0.06,7.41,Humbert
Fe,100,101750000,1017.5,2018,607,607,101750000,1017.5,169.492,1600,10000,0.9,0.82,3.67,30,300,0.25,2,0.06,0.59,Humbert
Al,415,2937550460,7070,2008,576,607,3095647794,7451,517,1000,10000,0.95,4.18,16.5,30,300,1.25,3,0.03,0.8,1 line Rectifier
Al,415,2920930656,7030,2008,576,607,3078133521,7408,517,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,1 line Rectifier
Al,588,3691655708,6275,2008,576,607,3890338568,6613,732,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,1 line Rectifier
Al,588,3753428433,6380,2008,576,607,3955435866,6723,732,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,1 line Rectifier
Al,735,4894017677,6655,2008,576,607,5157410990,7013,915,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,1 line Rectifier
Al,735,4360860229,5930,2008,576,607,4595559304,6249,915,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,2 line Rectifier
Al,882,4994766050,5660,2008,576,607,5263581584,5965,1098,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,2 line Rectifier
Al,882,5599256288,6345,2008,576,607,5900605150,6686,1098,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,1 line Rectifier
Al,1177,6712636117,5705,2008,576,607,7073906463,6012,1465,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,2 line Rectifier
Al,1177,6518493267,5540,2008,576,607,6869314953,5838,1465,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,2 line Rectifier
Al,1691,8676861694,5130,2008,576,607,9143845570,5406,2105,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,2 line Rectifier
Al,500,3250000000,6500,2001,394,607,5006979695,10014,622,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,2 line Rectifier
Al,353,1899846000,5382,2008,576,608,2005393000,5681,439,1000,10000,0.95,4.18,,30,300,1.25,3,0.03,0.85,1 line Rectifier
Mg,50,400000000,8000,2001,394,607,616243655,12325,41,750,6000,0.9,6,,60,360,2.16,2,0.02,1.23,IG Cell
Mg,109,359700000,3300,1979,239,607,913547699,8381,88,750,6000,0.9,6,,60,360,2.16,2,0.02,1.23,IG Cell
Mg,22,72600000,3300,1979,239,607,184385774,8381,18,750,6000,0.9,6,,60,360,2.16,2,0.02,1.23,IG Cell
Mg,4.5,14850000,3300,1979,239,607,37715272,8381,4,750,6000,0.9,6,,60,360,2.16,2,0.02,1.23,IG Cell
Mg,22.5,74250000,3300,1979,239,607,188576360,8381,18,750,6000,0.9,6,,60,360,2.16,2,0.02,1.23,IG Cell
Na,50,82500000,1650,1979,239,607,209529289,4191,14,600,10000,0.85,5.7,,60,600,3.42,1,0.02,3.67,Downs Cell
Zn,100,250000000,2500,2006,500,607,303500000,3035,766,50,300,0.85,3.5,,50,15,0.05,2,0.07,0.13,
Zn,100,60000000,600,1974,164.4,607,221532847,2215,766,50,300,0.85,3.5,,50,15,0.05,2,0.07,0.13,
Zn,120,508500000,4238,2011,590,607,523151695,4360,919,50,300,0.85,3.5,,50,15,0.05,2,0.07,0.13,
Cu,1.1,2600000,2398,1980,261,607,6046743,5577,15,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,1.7,3700000,2239,1980,261,607,8604981,5207,23,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,5,12400000,2481,1980,261,607,28838314,5770,70,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,4.6,9800000,2140,1980,261,607,22791571,4977,64,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,15.1,26000000,1727,1980,261,607,60467433,4016,210,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,22.7,32700000,1441,1980,261,607,76049425,3351,316,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,21.2,33500000,1579,1980,261,607,77909962,3672,296,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,27,100000000,3703,1998,390,607,155641026,5764,377,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,1.3,3000000,2253,1980,390,607,4669231,3507,19,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,14.6,25300000,1728,1980,390,607,39377179,2689,204,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,50,268500000,5370,2014,580,607,280999138,5620,697,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,60,298000000,4966,2007,530,607,341294340,5688,837,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cl2,200,106000000,530,1980,261,607,246521073,1233,126,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,diaphragm
Cl2,200,111500000,558,1980,261,607,259312261,1297,126,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,membrane
Cl2,200,112800000,564,1980,261,607,262335632,1312,126,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,membrane + inert anodes
Cl2,166,111000000,669,1990,358,607,188203911,1134,105,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,
Cl2,880,194868534,221,1980,261,607,453200000,515,554,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,
