Metal,Capacity [kt/y],Capex [Year USD],Capex/ Capacity [year USD/ (kt/y)],Year,Year CEI,2018 CEI,Capex [2018 USD],Capex/ Capacity [2018 USD/ (kt/y)],Cell Count,Temperature [C],Current Density [A/m^2],Current efficiency,Operating potential [V],Specific energy [kWh/kg],Electrode area/ cell [m^2],Current / cell [kA],Power / cell [MW],Electrons per product,Product molar mass [kg],Yearly productivity / cell [kt/y],Notes
Fe AHE,0.181074198,"$1,077 ","$1,077 ",2018,607,607,"$1,077 ","$1,077 ",1,80,1000,0.9,3.2,4.644283995,30,30,0.096,3,0.055845,0.181074198,Humbert Cost Kempler Operating Conditions
Fe MSE,7.41,"$10,947 ","$10,947 ",2018,607,607,"$10,947 ","$10,947 ",1,900,6000,0.9,1.79,0.635,30,300,0.537,3,0.055845,7.41,Humbert
Fe MOE,0.587,"$4,902 ","$4,902 ",2018,607,607,"$4,902 ","$4,902 ",1,1600,10000,0.9,0.82,3.67,30,300,0.246,2,0.055845,0.587,Humbert
Al,415,"$2,937,550,460 ","$7,070 ",2008,576,607,"$3,095,647,794 ","$7,451 ",517,1000,10000,0.95,4.18,16.5,30,300,1.254,3,0.027,0.80270793,1 line Rectifier
Al,415,"$2,920,930,656 ","$7,030 ",2008,576,607,"$3,078,133,521 ","$7,408 ",517,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,588,"$3,691,655,708 ","$6,275 ",2008,576,607,"$3,890,338,568 ","$6,613 ",732,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,588,"$3,753,428,433 ","$6,380 ",2008,576,607,"$3,955,435,866 ","$6,723 ",732,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,735,"$4,894,017,677 ","$6,655 ",2008,576,607,"$5,157,410,990 ","$7,013 ",915,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,735,"$4,360,860,229 ","$5,930 ",2008,576,607,"$4,595,559,304 ","$6,249 ",915,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,882,"$4,994,766,050 ","$5,660 ",2008,576,607,"$5,263,581,584 ","$5,965 ",1098,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,882,"$5,599,256,288 ","$6,345 ",2008,576,607,"$5,900,605,150 ","$6,686 ",1098,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,1177,"$6,712,636,117 ","$5,705 ",2008,576,607,"$7,073,906,463 ","$6,012 ",1465,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,1177,"$6,518,493,267 ","$5,540 ",2008,576,607,"$6,869,314,953 ","$5,838 ",1465,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,1691,"$8,676,861,694 ","$5,130 ",2008,576,607,"$9,143,845,570 ","$5,406 ",2105,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,500,"$3,250,000,000 ","$6,500 ",2001,394,607,"$5,006,979,695 ","$10,014 ",622,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,353,"$1,899,846,000 ","$5,382 ",2008,576,608,"$2,005,393,000 ","$5,681 ",439,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Mg,50,"$400,000,000 ","$8,000 ",2001,394,607,"$616,243,655 ","$12,325 ",41,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Mg,109,"$359,700,000 ","$3,300 ",1979,239,607,"$913,547,699 ","$8,381 ",88,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Mg,22,"$72,600,000 ","$3,300 ",1979,239,607,"$184,385,774 ","$8,381 ",18,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Mg,4.5,"$14,850,000 ","$3,300 ",1979,239,607,"$37,715,272 ","$8,381 ",4,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Mg,22.5,"$74,250,000 ","$3,300 ",1979,239,607,"$188,576,360 ","$8,381 ",18,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Na,50,"$82,500,000 ","$1,650 ",1979,239,607,"$209,529,289 ","$4,191 ",14,600,10000,0.85,5.7,,60,600,3.42,1,0.023,3.67,Downs Cell
Zn,100,"$250,000,000 ","$2,500 ",2006,500,607,"$303,500,000 ","$3,035 ",766,50,300,0.85,3.5,,50,15,0.053,2,0.065,0.13,
Zn,100,"$60,000,000 ",$600 ,1974,164.4,607,"$221,532,847 ","$2,215 ",766,50,300,0.85,3.5,,50,15,0.053,2,0.065,0.13,
Zn,120,"$508,500,000 ","$4,238 ",2011,590,607,"$523,151,695 ","$4,360 ",919,50,300,0.85,3.5,,50,15,0.053,2,0.065,0.13,
Cu,1.1,"$2,600,000 ","$2,398 ",1980,261,607,"$6,046,743 ","$5,577 ",15,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,1.7,"$3,700,000 ","$2,239 ",1980,261,607,"$8,604,981 ","$5,207 ",23,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,5,"$12,400,000 ","$2,481 ",1980,261,607,"$28,838,314 ","$5,770 ",70,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,4.6,"$9,800,000 ","$2,140 ",1980,261,607,"$22,791,571 ","$4,977 ",64,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,15.1,"$26,000,000 ","$1,727 ",1980,261,607,"$60,467,433 ","$4,016 ",210,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,22.7,"$32,700,000 ","$1,441 ",1980,261,607,"$76,049,425 ","$3,351 ",316,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,21.2,"$33,500,000 ","$1,579 ",1980,261,607,"$77,909,962 ","$3,672 ",296,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,27,"$100,000,000 ","$3,703 ",1998,390,607,"$155,641,026 ","$5,764 ",377,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,1.3,"$3,000,000 ","$2,253 ",1980,390,607,"$4,669,231 ","$3,507 ",19,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,14.6,"$25,300,000 ","$1,728 ",1980,390,607,"$39,377,179 ","$2,689 ",204,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,50,"$268,500,000 ","$5,370 ",2014,580,607,"$280,999,138 ","$5,620 ",697,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cu,60,"$298,000,000 ","$4,966 ",2007,530,607,"$341,294,340 ","$5,688 ",837,40,300,0.8,3.5,,30,9,0.032,2,0.064,0.07,SX-EW
Cl2,200,"$106,000,000 ",$530 ,1980,261,607,"$246,521,073 ","$1,233 ",126,90,2700,0.96,3.79,,55,149,0.563,2,0.071,1.59,diaphragm
Cl2,200,"$111,500,000 ",$558 ,1980,261,607,"$259,312,261 ","$1,297 ",126,90,2700,0.96,3.79,,55,149,0.563,2,0.071,1.59,membrane
Cl2,200,"$112,800,000 ",$564 ,1980,261,607,"$262,335,632 ","$1,312 ",126,90,2700,0.96,3.79,,55,149,0.563,2,0.071,1.59,membrane + inert anodes
Cl2,166,"$111,000,000 ",$669 ,1990,358,607,"$188,203,911 ","$1,134 ",105,90,2700,0.96,3.79,,55,149,0.563,2,0.071,1.59,
Cl2,880,"$194,868,534 ",$221 ,1980,261,607,"$453,200,000 ",$515 ,554,90,2700,0.96,3.79,,55,149,0.563,2,0.071,1.59,
